storm_paths,movie_budgets_1,movie_budgets_1b,movie_budgets_1c,shop,banana_conclusions,covid_map_1,covid_map_2,covid_map_3,covid_map_4,att_check,covid_map_5,he_said_she_said_1,he_said_she_said_2,he_said_she_said_3,build_a_plot_1,build_a_plot_2,blocks_1,blocks_2,realty_tree_1,realty_tree_2,website_testing_1_3,image_recognition1_1,data_confidentiali1_1,activity_journal_1_1,movie_wrangling_1_6,movie_wrangling_2_6,movie_wrangling_3_6,time_spent,consent
Impossible to tell based on the graph alone,Plot C,Plot B,Plot C,Shop 2,"The headline makes a causal claim, but only a relationship can be concluded from this analysis.",South,CA,True,True,Option 2,"Yes, we can conclude a difference in total number of COVID cases. The peak in they KY plot is larger than the peak of the CA plot.",False,True,False,False,False,B,Cannot be determined from the plot,"$151,424","$501,876","There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 40 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 50 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 100 users visiting the website.",Predicting profession from physical appearance is not possible as one’s choice of profession has nothing to go with their physical appearance.,Student’s class year,Each row will represent a different person keeping an activity journal.,"Use bootstrapping,Use regular expressions",2,2,About 45 minutes,"Yes, I agree to allow my responses to the assessment as research data."
City a,Plot C,Plot B,Plot C,Shop 3,"The headline makes a causal claim, but only a relationship can be concluded from this analysis.",South,CA,True,False,Option 2,"Yes, we can conclude a difference in total number of COVID cases. The peak in they KY plot is larger than the peak of the CA plot.",False,True,True,False,False,D,False positive rate is larger,"$210,950","$384,767",There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 20 users visiting the website.,"professory in the photos from the sciences are primarily white and male in lab coats, which is not representative of science professory today.",Student’s class year,"One of the columns will be exercise type; a categorical variable with levels such as Pilates, Weights, Walk, etc.","Use if-else statements,Use a lookup table",2,2,30 - 40 minutes,"Yes, I agree to allow my responses to the assessment as research data."
City a,Plot C,Plot A,Plot C,Shop 3,"The headline makes a causal claim, but only a relationship can be concluded from this analysis.",South,WY,False,False,Option 2,"No, we can not conclude a difference in total number of COVID cases. There is not enough information given on this graph to make the comparison.",False,True,True,False,False,E,False negative rate is larger,"$151,424","$384,767","There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 40 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 50 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 100 users visiting the website.","professory in the photos from the sciences are primarily white and male in lab coats, which is not representative of science professory today.",Student’s race and ethnicity,Each row will represent a different person keeping an activity journal.,Use if-else statements,2,2,20-30 minutes,"Yes, I agree to allow my responses to the assessment as research data."
City a,Plot B,Plot A,Plot C,Shop 3,"The headline makes a causal claim, but only a relationship can be concluded from this analysis.",South,CO,True,True,Option 2,"Yes, we can conclude a difference in total number of COVID cases. The area underneath the curve is larger for KY than for CA.",False,True,True,False,False,E,False negative rate is larger,"$151,424","$384,767","There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 50 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 100 users visiting the website.",Black-and-white photos cannot be used to make predictions for color photos today.,Student’s class year,One of the columns will be stand goal; a binary variable with 0 indicating not met and 1 indicating met.,Use regular expressions,2,1,1 hour,"Yes, I agree to allow my responses to the assessment as research data."
City a,Plot C,Plot C,Plot C,Shop 1,"The headline makes a causal claim, but only a relationship can be concluded from this analysis.",South,WY,True,True,Option 2,"Yes, we can conclude a difference in total number of COVID cases. The area underneath the curve is larger for KY than for CA.",False,True,True,True,False,D,False positive rate is larger,"$151,424",Can’t be determined from the information given,"There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 40 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 50 users visiting the website.","professory in the photos from the sciences are primarily white and male in lab coats, which is not representative of science professory today.",Student’s major,Each row will represent a different person keeping an activity journal.,"Use if-else statements,Use a lookup table",2,2,40 minutes,"Yes, I agree to allow my responses to the assessment as research data."
City a,Plot C,Plot A,Plot C,Shop 3,"The headline makes a causal claim, but only a relationship can be concluded from this analysis.",South,CA,False,True,Option 2,"No, we can not conclude a difference in total number of COVID cases. There is not enough information given on this graph to make the comparison.",False,True,Need additional information to determine this,False,False,B,False negative rate is larger,"$151,424","$384,767","There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 40 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 50 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 100 users visiting the website.","professory in the photos from the sciences are primarily white and male in lab coats, which is not representative of science professory today.",Student’s major,Each row will represent a different person keeping an activity journal.,Use if-else statements,2,1,1hr,"Yes, I agree to allow my responses to the assessment as research data."
Impossible to tell based on the graph alone,Plot C,Plot C,Plot B,Shop 3,"The headline makes a causal claim, but only a relationship can be concluded from this analysis.",South,CO,True,False,Option 2,"Yes, we can conclude a difference in total number of COVID cases. The area underneath the curve is larger for KY than for CA.",False,True,True,False,False,E,False negative rate is larger,"$151,424","$384,767",There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 40 users visiting the website.,Predicting profession from physical appearance is not possible as one’s choice of profession has nothing to go with their physical appearance.,Student’s class year,Each row will represent a different person keeping an activity journal.,Use bootstrapping,2,2,40 mins,"Yes, I agree to allow my responses to the assessment as research data."
City a,Plot C,Plot C,Plot C,Shop 3,"The headline makes a causal claim, but only a relationship can be concluded from this analysis.",South,CO,True,True,Option 2,"Yes, we can conclude a difference in total number of COVID cases. The area underneath the curve is larger for KY than for CA.",False,True,True,False,False,E,False positive rate is larger,"$151,424","$384,767","There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 20 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 40 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 50 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 100 users visiting the website.",Predicting profession from physical appearance is not possible as one’s choice of profession has nothing to go with their physical appearance.,Student’s class year,Each row will represent a day.,Use if-else statements,2,1,About 1 hour I think,"Yes, I agree to allow my responses to the assessment as research data."
City b,Plot B,Plot A,Plot C,Shop 3,"The headline makes a causal claim, but only a relationship can be concluded from this analysis.",South,CO,True,False,Option 2,"Yes, we can conclude a difference in total number of COVID cases. The area underneath the curve is larger for KY than for CA.",False,True,True,False,False,D,False negative rate is larger,"$151,424","$384,767","There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 40 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 50 users visiting the website.",Black-and-white photos cannot be used to make predictions for color photos today.,Student’s class year,One of the columns will be stand goal; a binary variable with 0 indicating not met and 1 indicating met.,Use if-else statements,2,2,half an hour,"Yes, I agree to allow my responses to the assessment as research data."
Impossible to tell based on the graph alone,Plot B,Plot A,Plot C,Impossible to tell based on the graph alone,"The headline makes a causal claim, but only a relationship can be concluded from this analysis.",South,WY,True,True,Option 2,"No, we can not conclude a difference in total number of COVID cases. There is not enough information given on this graph to make the comparison.",Need additional information to determine this:,Need additional information to determine this,Need additional information to determine this,False,False,E,False positive rate is larger,"$151,424","$384,767",There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 50 users visiting the website.,"professory in the photos from the sciences are primarily white and male in lab coats, which is not representative of science professory today.",Student’s class year,Each row will represent a different person keeping an activity journal.,"Use if-else statements,Use a lookup table,Use regular expressions",2,1,29 minutes,"Yes, I agree to allow my responses to the assessment as research data."
City a,Plot B,Plot A,Plot C,Shop 3,"The headline makes a causal claim, but only a relationship can be concluded from this analysis.",South,CO,False,False,Option 2,"No, we can not conclude a difference in total number of COVID cases. There is not enough information given on this graph to make the comparison.",False,True,Need additional information to determine this,False,False,E,Cannot be determined from the plot,"$151,424",Can’t be determined from the information given,"There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 40 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 50 users visiting the website.","professory in the photos from the sciences are primarily white and male in lab coats, which is not representative of science professory today.",Student’s class year,Each row will represent a different person keeping an activity journal.,"Use if-else statements,Use a lookup table,Use regular expressions",2,2,40 minutes,"Yes, I agree to allow my responses to the assessment as research data."
City a,Plot C,Plot C,Plot B,Shop 1,"The headline makes a causal claim, but only a relationship can be concluded from this analysis.",South,WY,True,True,Option 2,"Yes, we can conclude a difference in total number of COVID cases. The area underneath the curve is larger for KY than for CA.",False,True,True,False,False,C,False positive rate is larger,"$151,424","$384,767","There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 50 users visiting the website.,There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 100 users visiting the website.",Black-and-white photos cannot be used to make predictions for color photos today.,Student’s major,Each row will represent a different person keeping an activity journal.,Use if-else statements,2,3,50 minutes,"Yes, I agree to allow my responses to the assessment as research data."
City a,Plot B,Plot C,Plot B,Shop 3,"The headline makes a causal claim, but only a relationship can be concluded from this analysis.",South,CO,True,True,Option 2,"No, we can not conclude a difference in total number of COVID cases. The area underneath the curve for KY is roughly the same as CA.",False,True,True,True,False,B,False positive rate is larger,"$151,424","$384,767",There is evidence that the red version of the website will generate more clicks on the “Store” link if there are 50 users visiting the website.,Predicting profession from physical appearance is not possible as one’s choice of profession has nothing to go with their physical appearance.,Student’s class year,"One of the columns will be exercise type; a categorical variable with levels such as Pilates, Weights, Walk, etc.",Use if-else statements,2,4,About 40 minutes,"Yes, I agree to allow my responses to the assessment as research data."
