netId,total,perc,ten
hr110,8,0.53,5.33
ajb198,10,0.67,6.67
ajf62,1,0.07,0.67
ru15,10,0.67,6.67
ez49,11,0.73,7.33
cam217@duke.edu,2,0.13,1.33
ec360,5,0.33,3.33
jma136,9,0.6,6
kcn6,8,0.53,5.33
as1434,5,0.33,3.33
amp161,8,0.53,5.33
jgn13,11,0.73,7.33
sr439,9,0.6,6
ceh108,7,0.47,4.67
dbl23,9,0.6,6
sra58,9,0.6,6
rs671,12,0.8,8
rjr53,7,0.47,4.67
acc111,6,0.4,4
sc764,1,0.07,0.67
us21,6,0.4,4
